UnfallID;UJAHR;UMONAT;Jahr-Monat;UWOCHENTAG;USTUNDE;UKATEGORIE;UART;UTYP1;ULICHTVERH;STRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
8,20E+18;2020;9;2020-09;5;20;2;6;4;2;1;0;1;1;0;0;0;513024,1406;5280531,837;9,173520017;47,67804486
8,20E+18;2020;10;2020-10;1;19;3;3;6;1;0;1;0;0;1;0;0;509980,9;5288098,976;9,133148513;47,74618522
8,20E+18;2020;10;2020-10;3;7;3;9;1;0;1;0;0;0;0;0;1;508818,7201;5281926,043;9,117519719;47,69066051
8,20E+18;2020;10;2020-10;7;1;2;5;2;2;0;0;1;0;1;0;0;512123,609;5278735,011;9,161472452;47,66189512
8,20E+18;2020;10;2020-10;7;11;3;0;2;0;1;1;1;0;0;0;0;515209,8555;5281026,922;9,202657271;47,68245172
8,20E+18;2020;10;2020-10;4;14;3;0;7;0;0;1;0;0;0;0;1;513232,4051;5279546,921;9,176264857;47,66917868
8,20E+18;2020;10;2020-10;1;17;3;2;6;1;0;0;1;0;0;0;1;513455,2171;5279340,031;9,17922648;47,66731256
8,20E+18;2020;10;2020-10;5;14;3;0;1;0;0;0;0;0;1;0;0;513777,0353;5280075,004;9,183536332;47,67391882
8,20E+18;2020;10;2020-10;1;12;3;3;1;0;0;1;0;0;0;0;0;508218,383;5287773,477;9,109629852;47,74328138
8,20E+18;2020;10;2020-10;1;13;3;8;1;0;0;0;0;0;1;0;0;510216,0931;5281917,988;9,136141103;47,69056744
8,20E+18;2020;10;2020-10;3;6;3;0;1;2;1;0;0;0;1;0;0;513068,444;5279719,091;9,174085943;47,67073115
8,20E+18;2020;12;2020-12;7;12;3;0;6;0;1;0;1;0;1;0;0;514115,0838;5279698,418;9,188027585;47,67052314
8,20E+18;2020;12;2020-12;4;11;1;6;4;0;0;0;1;1;0;0;0;511889,5402;5283109,642;9,158474099;47,70126089
8,20E+18;2020;12;2020-12;4;8;3;0;1;1;2;1;0;0;0;0;0;513432,0721;5279351,127;9,178918526;47,66741288
8,20E+18;2020;1;2020-01;1;3;3;5;3;2;0;0;1;0;0;0;0;511934,3743;5280382,727;9,158997096;47,67672425
8,20E+18;2020;1;2020-01;7;20;3;6;4;2;0;0;1;1;0;0;0;511075,5246;5280412,838;9,147555775;47,67701046
8,20E+18;2020;1;2020-01;7;23;3;9;1;2;0;0;0;0;1;0;0;513110,941;5280081,64;9,174662931;47,67399238
8,20E+18;2020;1;2020-01;5;18;2;6;4;2;0;1;0;1;0;0;0;513323,6563;5279733,519;9,177486073;47,67085576
8,20E+18;2020;1;2020-01;6;0;2;6;6;2;0;1;0;1;0;0;0;512906,6376;5278999,122;9,171909242;47,66425635
8,20E+18;2020;1;2020-01;6;23;3;0;1;2;0;1;0;0;0;0;0;512257,983;5280573,081;9,163313738;47,67843094
8,20E+18;2020;1;2020-01;4;19;2;5;7;2;0;1;1;0;0;0;0;513270,1223;5278674,646;9,176740778;47,66132947
8,20E+18;2020;1;2020-01;5;16;3;5;3;0;0;1;1;0;0;0;0;512002,2517;5280349,818;9,159900492;47,67642689
8,20E+18;2020;1;2020-01;5;12;3;5;2;0;0;0;1;0;1;0;0;512646,8311;5280054,216;9,168479329;47,67375488
8,20E+18;2020;1;2020-01;6;14;3;5;2;0;0;1;1;0;0;0;0;513324,208;5278763,787;9,177463844;47,66213042
8,20E+18;2020;1;2020-01;2;7;3;9;1;1;2;1;0;0;0;0;0;512752,2385;5278134,374;9,169827506;47,65647868
8,20E+18;2020;1;2020-01;4;20;2;6;2;2;0;0;1;1;0;0;0;511147,2994;5281492,287;9,148539573;47,68672174
8,20E+18;2020;1;2020-01;4;7;3;2;6;0;0;0;1;0;0;0;1;511558,4598;5280562,209;9,153993702;47,678346
8,20E+18;2020;2;2020-02;7;13;3;2;6;0;0;0;0;0;1;0;1;512889,289;5278637,914;9,171667514;47,66100667
8,20E+18;2020;2;2020-02;1;19;3;5;3;2;1;0;1;0;0;0;0;512815,5832;5280086,13;9,170728347;47,6740387
8,20E+18;2020;1;2020-01;4;22;3;5;3;2;0;1;1;0;0;0;0;511035,5821;5280771,485;9,147032701;47,68023813
8,20E+18;2020;2;2020-02;7;14;3;3;6;0;0;1;1;0;0;0;0;512813,707;5280086,995;9,170703378;47,67404652
8,20E+18;2020;2;2020-02;3;9;3;5;3;0;1;1;1;0;0;0;0;512833,8527;5278790,69;9,17093367;47,6623824
8,20E+18;2020;2;2020-02;5;13;3;9;1;0;0;1;0;0;0;0;0;512699,0474;5280683,472;9,169193246;47,67941568
8,20E+18;2020;2;2020-02;2;8;3;5;3;0;1;1;1;0;0;0;0;512329,1735;5280653,55;9,164264481;47,67915362
8,20E+18;2020;2;2020-02;2;8;3;5;3;0;1;1;1;0;0;0;0;511013,8512;5280814,869;9,146744265;47,68062886
8,20E+18;2020;2;2020-02;3;19;3;5;3;2;0;1;0;0;0;0;0;513807,3669;5280256,106;9,183946131;47,67554767
8,20E+18;2020;3;2020-03;1;22;3;0;1;2;1;1;0;0;0;0;0;513006,5171;5278602,737;9,173227776;47,66068781
8,20E+18;2020;2;2020-02;5;14;3;5;3;0;2;0;1;0;0;0;0;511696,3054;5281118,217;9,155845114;47,68334629
